Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUN DE ENSINO INFANTIL CINDERELA;28026187;SE;Santa Luzia do Itanhy;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ANTONIO RIBEIRO SOUTELO, 49230-000 Santa Luzia do Itanhy - SE.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-11.3535168;-37.447092
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO NOSSA SENHORA DO DESTERRO;28026225;SE;Japoatã;Urbana;A escola não está em área de localização diferenciada;Privada;"PRACA GOVERNADOR VALADARES, 17 CENTRO. 49950-000 Japoatã - SE.";(79) 999682212;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.34307433;-36.79868145
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA DE EDUCACAO INFANTIL DAISY DE OLIVEIRA GARCIA;28026233;SE;Estância;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA FERNANDES REIS, 20 ALAGOAS. 49200-000 Estância - SE.";(79) 999652819;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-11.25720814;-37.43692769
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;AS MANT ESC FAM AGRIC LADEIRINHAS;28026268;SE;Japoatã;Rural;Área de assentamento;Pública;"POVOADO LADEIRINHAS A, COLONIA 2. ZONA RURAL. 49950-000 Japoatã - SE.";(79) 33486051;Estadual;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Ensino Médio, Educação Profissional";;-10.4580604;-36.76977762
ESCOLA PARALISADA;CENTRO EDUC LEONOR BARRETO FRANCO;28026276;SE;Itabaianinha;Urbana;Não Informado;Privada;"RUA A, 49290-000 Itabaianinha - SE.";(79) 35441286;Privada;Não Informado;Não;;;;;;
ESCOLA PARALISADA;ESCOLA MUL DANIEL RODRIGUES CORREIA;28026314;SE;Nossa Senhora de Lourdes;Rural;Não Informado;Pública;"POVOADO OLHOS D AGUA, 49890-000 Nossa Senhora de Lourdes - SE.";(79) 33161276;Municipal;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO MONTEIRO LOBATO LTDA;28026330;SE;Cristinápolis;Urbana;A escola não está em área de localização diferenciada;Privada;"PRACA GOVERNADOR JOAO ALVES FILHO, 271 CASA. CENTRO. 49270-000 Cristinápolis - SE.";(79) 999208885;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-11.477345;-37.75317167
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL FRANCISCO MENEZES NETO;28026349;SE;Gracho Cardoso;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO BOA VISTA, 49860-000 Gracho Cardoso - SE.";(79) 999012391;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.22372794;-37.22593041
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC0LA MUNICIPAL ENSINO FUNDAMENTAL PROFESSOR E JORNALISTA LUIZ ANTONIO BARRETO;28026357;SE;Cristinápolis;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA CANA BRAVA, S/N CENTRO. 49270-000 Cristinápolis - SE.";(79) 998471458;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atividade Complementar;-11.48388255;-37.75105152
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL MARIA RAIMUNDA DE OLIVEIRA REZENDE;28026365;SE;Barra dos Coqueiros;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA PEDRO RICARDO NASCIMENTO, 14 CENTRO. 49140-000 Barra dos Coqueiros - SE.";(79) 988793435;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";"Atendimento Educacional Especializado, Atividade Complementar";-10.9101798;-37.0338436
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA GENTE MIUDA;28026390;SE;Propriá;Urbana;A escola não está em área de localização diferenciada;Privada;"AVENIDA AUGUSTO MAYNARD, CENTRO. 49900-000 Propriá - SE.";(79) 33223800;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-10.2080357;-36.83779702
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL AMIGUINHOS DO ABC;28026403;SE;Propriá;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA VEREADOR ANTONIO DIAS, 161 CASA. CENTRO. 49900-000 Propriá - SE.";(79) 33221454;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.21264326;-36.8351556
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF PROFESSOR LAONTE GAMA DA SILVA;28026446;SE;Aracaju;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA OITO, S/N CONJUNTO PADRE PEDRO. SANTA MARIA. 49044-129 Aracaju - SE.";(79) 31793060;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-10.9854549;-37.0998559
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA REUNIDA DUAS IRMAS;28026497;SE;Aracaju;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA SANTO ANTONIO, 377 SANTOS DUMONT. 49087-540 Aracaju - SE.";(79) 32452421;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Ensino Fundamental;;-10.89101167;-37.08309833
ESCOLA PARALISADA;ASSOC DE PAIS E AMIGOS DOS EXCEPCIONAIS;28026500;SE;Lagarto;Urbana;Não Informado;Privada;"RUA JOSE BARRETO DE SOUZA, 65 LOTEAMENTO FREI CRISTOVAO. 49400-000 Lagarto - SE.";(79) 36311627;Privada;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL LEONEL BRIZOLA;28026519;SE;Nossa Senhora do Socorro;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA F, 127 CONJUNTO JOAO ALVES. TAICOCA. 49160-000 Nossa Senhora do Socorro - SE.";(79) 999440863;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-10.8554936;-37.0868157
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF PROF MARIA CARLOTA DE MELO;28026527;SE;Aracaju;Urbana;A escola não está em área de localização diferenciada;Pública;"RODOVIA PROFESSOR EDUARDO CABRAL DE MENEZES, 1999 SAO JOSE DOS NAUFRAGOS. 49005-353 Aracaju - SE.";(79) 31792513;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-11.04161;-37.1182183333333
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO ESTADUAL PROFESSORA MARIA ZENITE DOS SANTOS;28026543;SE;Porto da Folha;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO LAGOA REDONDA, PREDIO. ZONA RURAL. 49800-000 Porto da Folha - SE.";(79) 999091684;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Médio;;-9.971007775;-37.59846413
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF JOAO TELES MENEZES;28026551;SE;Aracaju;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SANTA TEREZINHA, S/N LOTEAMENTO JETIMANA. CIDADE NOVA. 49070-355 Aracaju - SE.";(79) 31793461;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-10.88717936;-37.06948581
ESCOLA PARALISADA;CENTRO EDUCACIONAL ORLANDO DANTAS;28026560;SE;Aracaju;Urbana;Não Informado;Privada;"TRAVESSA H, SAO CONRADO. 49042-236 Aracaju - SE.";;Privada;Não Informado;Não;;;;;;
ESCOLA PARALISADA;CENTRO EDUCACIONAL PROFª MARIA MARQUES;28026578;SE;Aracaju;Urbana;Não Informado;Privada;"RUA MAJOR AURELIANO, SANTOS DUMONT. 49087-400 Aracaju - SE.";(79) 32271100;Privada;Não Informado;Não;;;;;;
ESCOLA PARALISADA;C EDUCACIONAL PROFª RAQUEL R BERNARDINO;28026586;SE;Aracaju;Urbana;Não Informado;Privada;"RUA MARTE, INACIO BARBOSA. 49040-370 Aracaju - SE.";(79) 32523179;Privada;Não Informado;Não;;;;;;
ESCOLA PARALISADA;COLEGIO PROFESSOR LARANJEIRAS;28026594;SE;Aracaju;Urbana;Não Informado;Privada;"RUA MESTRE PERCILIANO ANDRADE, PONTO NOVO. 49097-430 Aracaju - SE.";;Privada;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL DOMINGAS MARIA DA CONCEICAO;28026616;SE;Canindé de São Francisco;Rural;A escola não está em área de localização diferenciada;Pública;"FAZENDA SAO DOMINGOS, 49820-000 Canindé de São Francisco - SE.";(79) 998956244;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-9.8685829;-37.9147882
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUL ANTONIO ALEXANDRE DOS SANTOS;28026624;SE;Canindé de São Francisco;Rural;Área remanescente de quilombos;Pública;"POVOADO CURITUBA, 253 RUA DOS NEGROS. CENTRO. 49820-000 Canindé de São Francisco - SE.";(79) 999374185;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-9.64320637;-37.92203029
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL JARDIM DAS CRIANCAS;28026632;SE;Canindé de São Francisco;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ANTONIO SOARES, 62 CASA. TORRE. 49820-000 Canindé de São Francisco - SE.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-9.6634082;-37.7883847
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL MANOEL GOMES FEITOSA;28026640;SE;Canindé de São Francisco;Rural;A escola não está em área de localização diferenciada;Pública;"RUA DA COHAB VELHA, SN POVOADO CAPIM GROSSO. 49820-000 Canindé de São Francisco - SE.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-9.780797968;-37.88695889
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA ESTADUAL DOM MARIO RINO SIVIERI;28026667;SE;Lagarto;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA BRASILIA, S/N HORTA. 49400-000 Lagarto - SE.";;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";;-10.92175889;-37.66159523
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO DE EXCELENCIA GOVERNADOR LOURIVAL BAPTISTA;28026705;SE;Porto da Folha;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA CORONEL JOAO GONCALVES, 1744 PREDIO. CENTRO. 49800-000 Porto da Folha - SE.";(79) 999527531;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-9.92035469;-37.27347893
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MUL JOAO CARVALHO DE OLIVEIRA;28026713;SE;Japaratuba;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO SIBALDE, ZONA RURAL. 49960-000 Japaratuba - SE.";(79) 32723234;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;Ensino Fundamental;Atividade Complementar;-10.5211931;-36.8931015
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JARDIM DE INFANCIA TIO PATINHAS;28026721;SE;Japaratuba;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO SIBALDE, 49960-000 Japaratuba - SE.";(79) 32723234;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-10.5211652;-36.8932555
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL JOSE FIGUEIREDO BARRETO;28026730;SE;Aracaju;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA LARANJEIRAS, 1919 GETULIO VARGAS. 49055-380 Aracaju - SE.";(79) 31791834;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Médio, Educação Profissional";;-10.91168175;-37.06540799
ESCOLA PARALISADA;ASSOC EDUC FENIX;28026756;SE;Aracaju;Urbana;Não Informado;Privada;"AVENIDA BARAO DE MARUIM, SAO JOSE. 49015-040 Aracaju - SE.";;Privada;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUL CANDIDO BARRETO MACHADO;28026764;SE;Lagarto;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO ATALHO, S/N ZONA RURAL. 49400-000 Lagarto - SE.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.9021012;-37.8479183
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL LEONOR BARRETO FRANCO;28026780;SE;Tomar do Geru;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO ENTRONCAMENTO, SN 49280-000 Tomar do Geru - SE.";(79) 35451900;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-11.3818053;-37.8264856
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL DR ALBANO FRANCO;28026799;SE;Tomar do Geru;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO CARDOSO, S/N ZONA RURAL. POVOADO. 49280-000 Tomar do Geru - SE.";(79) 35451317;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-11.3635409;-37.8356218
ESCOLA PARALISADA;ESCOLINHA TIA DEDE;28026802;SE;Maruim;Urbana;Não Informado;Privada;"RUA JOSE QUINTILIANO FONSECA, 49770-000 Maruim - SE.";(79) 99485114;Privada;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL PROF MARIA FIDELIS COSTA;28026810;SE;Maruim;Rural;A escola não está em área de localização diferenciada;Pública;"RUA MARCELO GARCIA, S/N POVOADO JOAO GOMES DE MELO. 49770-000 Maruim - SE.";(79) 999690341;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atividade Complementar;-10.77670922;-37.12547941
ESCOLA PARALISADA;ESC MUL DE ENSINO FUND PROF ANA LOBAO;28026829;SE;Maruim;Urbana;Não Informado;Pública;"RUA MARECHAL DEODORO DA FONSECA, S/N ARAPIRACA. 49770-000 Maruim - SE.";(79) 32752184;Municipal;Não Informado;Não;;;;;-10.7321339;-37.0845429
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO OFENISIA FREIRE;28026837;SE;Aracaju;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA ALOSIO BRAGA, 466 SUISSA. 49050-050 Aracaju - SE.";(79) 32148780;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-10.92779151;-37.06428347
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA ESTADUAL MINISTRO GERALDO BARRETO SOBRAL;28026845;SE;Aracaju;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA REIS LIMA, 181 INDUSTRIAL. 49065-640 Aracaju - SE.";(79) 31793451;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-10.89821106;-37.05533336
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO DE EXCELENCIA GILBERTO FREYRE;28026853;SE;Nossa Senhora do Socorro;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA A 49, S/N CONJ. MARCOS FREIRE. TAICOCA. 49160-000 Nossa Senhora do Socorro - SE.";(79) 32542146;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Médio, Educação de Jovens Adultos";;-10.83222129;-37.08329397
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL MONTEIRO LOBATO;28026870;SE;Aracaju;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA SENHOR DO BONFIM, 328 SANTOS DUMONT. 49087-600 Aracaju - SE.";(79) 30449297;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.89566;-37.0847
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA TIA ARLETE;28026888;SE;Umbaúba;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA DOMINGOS VENANCIO, 115 PREDIO. CENTRO. 49260-000 Umbaúba - SE.";(79) 999422533;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-11.37967802;-37.6616949
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA DE EDUCACAO INFANTIL MARIA DE OLIVEIRA LIMA;28026896;SE;Estância;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ELISIO MATOS, S/N SAO JORGE. 49200-000 Estância - SE.";(79) 98600475;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-11.273535;-37.43378333
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL SANTA JOANA D ARC;28026926;SE;Itabaianinha;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA MARECHAL DEODORO DA FONSECA, 43 CENTRO. 49290-000 Itabaianinha - SE.";;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-11.27544679;-37.79057463
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL LIRIO DOS VALES;28026934;SE;Itabaianinha;Urbana;A escola não está em área de localização diferenciada;Pública;"CONJUNTO LEONOR BARRETO FRANCO, S/N ESCOLA. ANGELIM. 49290-000 Itabaianinha - SE.";(79) 98010257;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-11.27306465;-37.80306341
ESCOLA PARALISADA;ESCOLA MUNICIPAL DE 1º GRAU PAULO FERREIRA DIAS;28026985;SE;Arauá;Urbana;Não Informado;Pública;"RUA DE ESTANCIA, 748 PREDIO. CENTRO. 49220-000 Arauá - SE.";(79) 999357450;Municipal;Não Informado;Não;;;;;-11.2627129;-37.6124397
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL MANOEL FERREIRA;28027000;SE;Estância;Rural;Área de assentamento;Pública;"BR 101, KM 130, ASSENTAMENTO MANOEL FERREIRA, S/N RIO FUNDO I. ZONA RURAL. 49200-000 Estância - SE.";(79) 999858192;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-11.10142705;-37.36708723
ESCOLA PARALISADA;ESCOLA SAO VICENTE DE PAULO;28027019;SE;Tobias Barreto;Urbana;Não Informado;Pública;"PRACA IRMA MARIELE, CENTRO. 49300-000 Tobias Barreto - SE.";;Municipal;Não Informado;Não;;;;;;
ESCOLA PARALISADA;COLEGIO BASILIO BATISTA DE SANTANA;28027027;SE;Tobias Barreto;Urbana;Não Informado;Privada;"AVENIDA GOV JOAO ALVES FILHO, 311 TERREO. CENTRO. 49300-000 Tobias Barreto - SE.";(79) 998217180;Privada;Não Informado;Não;;;;;-11.18624892;-38.00457474
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO COOPERATIVA CONSTRUIR LTDA;28027035;SE;Tobias Barreto;Urbana;A escola não está em área de localização diferenciada;Privada;"PARQUE RESIDENCIAL RAIMUNDO GERALDO, 2 CENTRO. 49300-000 Tobias Barreto - SE.";(79) 35411490;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-11.18332355;-37.99742416
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUL DE ENSINO FUNDAMENTAL SANTA TEREZINHA;28027086;SE;Tobias Barreto;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA GOV. JOAO ALVES FILHO, 311 CENTRO. 49300-000 Tobias Barreto - SE.";(79) 99297812;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;Atividade Complementar;-11.18622823;-38.0046272
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MUNICIPAL MARIA DELFINA CELESTINO DE OLIVEIRA;28027108;SE;Campo do Brito;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA GABRIEL LIMA, SN CENTRO. 49520-000 Campo do Brito - SE.";(79) 999514912;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";"Atendimento Educacional Especializado, Atividade Complementar";-10.74438177;-37.49406153
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UNIDADE ESPECIFICA DE EDUCACAO INFANTIL PROFº LUIZ ANTONIO BARRETO;28027116;SE;Indiaroba;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA SENHOR DOS PASSOS, S/N CENTRO. 49250-000 Indiaroba - SE.";(79) 998163476;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-11.5197324;-37.509014
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UNIDADE MUNICIPAL DE EDUCACAO INFANTIL PEDRO EMANOEL GUIMARAES FARO;28027124;SE;Itabaianinha;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JOSE GENESIO DE GOIS, 322 CENTRO. 49290-000 Itabaianinha - SE.";(79) 999386067;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-11.27545752;-37.78601881
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL CECILIO EUGENIO ALVES;28027140;SE;Macambira;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JOAO RIBEIRO DA CONCEICAO, S/N PREDIO. CENTRO. 49565-000 Macambira - SE.";(79) 996301973;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-10.6642319;-37.5462363
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA DE EDUCACAO INFANTIL MARIA ELEUZA OLIVEIRA DE ARAUJO;28027159;SE;Malhador;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA LOURIVAL BATISTA, SN CENTRO. 49570-000 Malhador - SE.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-10.65687354;-37.30038317
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UNIDADE MUL DE EDUCACAO PRE ESCOLAR VOVO MENININHA;28027167;SE;Areia Branca;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA DO FORRODROMO, SN CENTRO. 49580-000 Areia Branca - SE.";(79) 991535000;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-10.7554756;-37.3159616
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA TECNICA AGRICOLA PREFEITO JOAO ALVES SANTOS;28027205;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"AREA RURAL, POVOADO RONCADOR. AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 998034827;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-10.673262;-37.4714758
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL SANTA MARIA;28027213;SE;Tomar do Geru;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JOSE EUGENIO DOS REIS, SN CENTRO. 49280-000 Tomar do Geru - SE.";(79) 35451900;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-11.37316237;-37.83485735
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MUL PROF IVANILDE DA SILVA SANTOS;28027230;SE;São Domingos;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA PROFESSORA IVANILDE DA SILVA SANTOS, SN PREDIO. CENTRO. 49525-000 São Domingos - SE.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-10.7929088;-37.5651867
